;text;option_1;option_2;option_3;option_4;rating
q70302;Of the following, which do you spend the most time doing while taking a bath or shower?;Washing and/or conditioning.;Shaving.;Relaxing.;Masturbating.;
q358;Do you know the first name of every person you've ever made out with?;Yes;No;;;
q17342;On a typical night, what time do you go to sleep?;By 9pm;By 11pm;By 1am;Later;
q15839;Do you often find yourself wanting to chuck it all and go to live on a sailboat?;Yes;No;;;
q28918;Would you do a striptease for your mate?;Yes;No;Maybe / Unsure;;
q64;Which is more important in a healthy relationship?;Maintaining privacy;Total openness;;;
q38912;How do you feel about germs?;Obsessed: I bleach anything I can't trust!;Careful: I wash my hands and cover my sneezes.;Polite: I always wash up when someone's watching.;Unconcerned: I don't actively lick doorknobs.;
q39714;Do you find the idea of shaving a partner's pubic hair exciting?;Yes.;No.;;;
q28902;Would you consider a serious relationship with someone who couldn't have or produce children?;Yes;No;;;
q9418;Manners are:;Important;Not very important;I fart on this question;;
q167;Do you recycle?;Almost always;Sometimes;Rarely or not at all;;
q23305;How many countries have you visited?;I have never left the country I live in now.;Between 2 and 5 countries.;Between 6 and 10 countries.;More than 10 countries.;
q42524;Would you ever consider having a friendship based primarily on sex, with no intentions for love, romance, or long-term commitment?;Yes.;No.;;;
q42918;What volume level do you usually prefer when listening to music?;Loud or louder.;Somewhere in the middle.;Soft and in the background.;I prefer to not listen to music.;
q50483;Do you consider astrology to be a legitimate science?;Yes.;No.;;;
q42282;Some friends invite you to go camping where there are no showers, no toilets, and no services.  The only luxuries would be those you could carry in a pack on your back. Do you go?;Yes.;No.;;;
q84910;Would it bother you if someone you are dating has a lot of close friends of the opposite sex?;Yes.;No.;;;
q26529;Have you ever taken any pills hoping they would help you lose weight?;Yes;No;;;
q39576;How important is it for you to give expensive gifts on a regular basis when in a relationship?;Very important.;Somewhat important.;Not at all important.;;
q392;If someone you barely knew asked you how many people you'd had sex with, would you answer?;Yes;No;;;
q27;Which is a bigger deal for you?;Telling someone you really care;Oral sex;;;
q55264;Do you think that a person's musical preferences are a good indicator of intelligence?;Yes.;No.;;;
q17168;Could you date someone who wasn't sure what they wanted to do with their life?;Yes;No;;;
q46176;Is it possible for someone to really be 'too nice'?;Yes.;No.;;;
q21986;Do you typically speak and write in a clear, precise manner?;Yes, almost always.;Yes, but only for classes/work.;It depends on my mood.;Ha, my language is vague and messy.;
q69912;Other things being equal, would you be more attracted to an artist or a scientist?;Artist;Scientist;;;
q84023;Could you live the rest of your life without drinking alcohol?;Yes.;No.;;;
q2;Breast implants?;more cool than pathetic;more pathetic than cool;;;
q13136;How important is art in your daily life?;Very Important;Somewhat Important;Not Important;I don't care;
q16371;Someone in an open relationship asks you out on a date. You:;Refuse / Aren't interested in open relationships.;Are hesitant, but would consider it.;Accept / Are open to non-monogamous relationships.;;
q27794;Would you date someone who was always optimistic?;Yes;No;;;
q18966;Do you prefer hardcore or softcore when it comes to your porn?;Hard!;Soft!;Both!;I don't like porn;
q53402;Do you usually feel the need to shower or bathe after having sex?;Yes.;No.;I've never had sex.;;
q19919;Would you prefer to have one true love forever, or lots of fun and meaningful relationships?;One true love;Lots of relationships;;;
q33870;Would the fact that a partner insisted you were perfect (had no faults) and refused to acknowledge your shortcomings, bother you?;Yes;No;;;
q31821;Do you think the government should limit big chain stores to give small businesses a chance?;Yes;No;Maybe;Don't know/Don't care;
q35955;How would you feel if your significant other made more money than you?;Very comfortable;Somewhat comfortable;Somewhat uncomfortable;Very uncomfortable;
q26;Have you ever owned sex toys?;Yes;No;;;
q15478;Do you like hickies?;Yes;No;;;
q1387;Would you ever engage in a sexual activity you didn't enjoy, just because your partner did?;Yes;No;;;
q52827;Would you consider connecting with someone whose relationship status is 'seeing someone' or 'married'?;Yes to both;No to both;Yes to 'seeing someone' only;Yes to 'married' only;
q85823;How much would you dress up for a first date with someone you met on OkCupid?;I'd go all out.;I'd try to look nice.;I wouldn't wear anything special.;It would vary, depending upon their profile.;
q70218;You are interested in someone, and you discover that they were a nerd in high school.  How does this affect your opinion of them?;Favorably.;Unfavorably.;It makes no difference.;;
q366;When you're not in a serious relationship, what do you prefer?;Dating multiple people at once;Dating one person at a time;I only have serious relationships, I don't 'date';;
q53299;Which type of education would you prefer for your children?;Public.;Private.;Religious.;Home.;
q1158;Are you married, engaged to be married, or in a relationship that you believe will lead to marriage?;Yes;No;;;
q30723;Which is the greatest compliment you could receive?;That you are beautiful/sexy/hot;That you are intelligent;That you are talented;That you are extremely fun to be with;
q34517;Do you enjoy dark, violent, or disturbing music?;Yes;No;When I'm in the mood.;Unsure;
q382;Is long hair on a guy inappropriate?;Yes;No;;;
q19365;If you meet someone and they are everything you are looking for, except their body type, do you give them a chance?;Yes;No;;;
q7239;What is the worst personality trait someone can have?;Arrogance;Being boring;Immaturity;No sense of humor;
q763;Do you believe in karma?;Yes;No;;;
q54695;How clear to you are your goals in life?;Very clear.;Somewhat clear.;Not at all clear.;;
q23954;Do you ever feel the need to get really drunk?;Often;Sometimes;Rarely;Never;
q26052;Would you date someone who was very into fantasy novels?;Yes;Maybe;No, what a geek!;;
q85315;Have you been faithful in all of your past relationships?;Yes.;No.;I haven't had a past relationship.;;
q335;Do you (or would you) like to go hunting?;Yes;No;;;
q19011;Do you have a TV in your bedroom?;Yes;No;;;
q388;Is it easier to love or to hate?;Love;Hate;;;
q18547;Guys with facial hair…;Great!;Okay.;Gross!;;
q30115;Have you ever gotten, or would you ever get, a piercing below the belt?;I have.;I would.;I wouldn't.;;
q62140;Does it bother you when people are late?;Yes, always.;No, never.;Sometimes, it depends upon the circumstances.;;
q54052;In general, how content are you with your own appearance?;Very content.;Somewhat content.;Not very content.;;
q171;What's more important to you?;Your world;Your country;;;
q13669;Would you date someone shorter than you?;Yes;No;;;
q17778;Are you a beer snob?;Yes;No;Not usually, but some beers I won't touch.;I don't drink.;
q23618;How important is it to you to have your own unique 'thing' (like a weekly Girls' Night Out or Guys' Movie Night) that you don't share with your partner(s)?;Very - I need some ME time to be happy;Sort of - I need friends outside of my partner;Not much - I like sharing stuff with my partner;I'd prefer not to have exclusive things;
q13032;Would you ever consider dating a Catholic?;Yes;Hesistant, but willing;No;Only if he/she was non-practicing;
q6040;Were you born the same gender as you are now?;Yes;No;;;
q86;Do you own a gun?;Yes;No;;;
q218;Should prostitution be legal?;Yes, absolutely;Yes, only if it were regulated;I don't think so;ABSOLUTELY NOT;
q15744;Are you a pet person?;Yes;No;;;
q15743;How do you feel about people with past addictions?;Completely uninterested;Extremely hesitant;A little hesitant;Totally fine;
q542;Roughly how many books have you read in the past year?;Less than five;Between five and fifteen;Between sixteen and fifty;Fifty or more;
q546;Would you date a transgender person?;Yes;No;;;
q48557;Do you find arrogance to be a turn-on?;Yes.;No.;;;
q49053;What was the duration of your longest romantic relationship?;More than five years.;One to five years.;Less than one year.;I've never been in a romantic relationship.;
q22125;Do you prefer?;Slim Men/Women;Average Men/Women;Fuller Figured Men/Women;I Don't Care/Not Fussy;
q538;Would you ever record a video of yourself having sex?;Yes;No;;;
q25294;Would you date someone who was currently in a relationship, knowing that you would 'be a secret?';Sure, why not?;Depends on the person.;Absolutely NOT.;;
q35520;Does netspeak (e.g., afk, brb, How RU?, lol, rotfl, ttyl, etc.) bother you?;Yes.;No.;Some of the time - It depends.;I don't know.;
q18125;Do you believe that there exists a statistical correlation between race and intelligence?;Yes;No;;;
q38173;Do you enjoy watching educational programming on television?;Yes, often.;Yes, on occasion.;No, never.;;
q26684;Are you the type of person to tell a homeless person to get a job?;Yes;No;;;
q354;Would you be comfortable being poor for the rest of your life?;Yes;No;;;
q20298;Compassion is:;A sign of strength;A sign of weakness;Neither;;
q1290;Do you feel like you're still hurting from something that happened to you a long time ago?;Yes;No;;;
q6111;Do overweight people annoy you?;Yes;No;;;
q1134;Do you have a desire (even if it's secret) to take part in sexual activities involving bondage?;Yes;No;Absolutely not.;;
q50564;Have your sexual interests become kinkier as you've grown older?;Yes.;No, they haven't changed much.;No, just the opposite.;No, I have no sexual interests.;
q209;Will you teach your children to believe in Santa?;Yes;No;;;
q18682;Do you think physical love is necessary for happiness in life?;Yes;No;;;
q64334;Imagine that your partner does not enjoy performing oral sex and refuses to ever perform it on you. How disappointed would you be?;Extremely disappointed.;Somewhat disappointed.;Slightly disappointed.;Not at all disappointed.;
q54127;Do you ever not feel like having sex because you feel too unattractive or too unappealing?;Yes, frequently.;Yes, sometimes.;Yes, but only rarely.;No, never.;
